sub	mass	height	activity	speed	stiffness	AngMomCor	AngMomTrans
1	82	1.6	IN	FSW	A	0.058686078	0.019056269
1	82	1.6	IN	FSW	B	0.079851216	0.017037881
1	82	1.6	IN	FSW	C	0.040426535	0.02147417
2	85	1.7	IN	FSW	A	0.060992983	8.91E-05
2	85	1.7	IN	FSW	B	0.061772904	0.020578377
2	85	1.7	IN	FSW	C	0.066180832	0.015825374
3	89	1.8	IN	FSW	A	0.051609835	0.02046101
3	89	1.8	IN	FSW	B	0.036643489	0.016901392
3	89	1.8	IN	FSW	C	0.026515464	0.018088583
4	97	1.7	IN	FSW	A	0.055565263	0.024575121
4	97	1.7	IN	FSW	B	0.049353846	0.01517241
4	97	1.7	IN	FSW	C	0.063269629	0.013603924
5	94	1.75	IN	FSW	A	0.071368426	0.020180262
5	94	1.75	IN	FSW	B	0.065956279	0.017855309
5	94	1.75	IN	FSW	C	0.067930371	0.029002857
6	75	1.85	IN	FSW	A	0.083050128	0.003071138
6	75	1.85	IN	FSW	B	0.045642676	0.016778302
6	75	1.85	IN	FSW	C	0.058710047	0.018833114
7	50	1.5	IN	FSW	A	0.057154609	0.015209136
7	50	1.5	IN	FSW	B	0.083977085	0.016212853
7	50	1.5	IN	FSW	C	0.068640313	0.016859282
8	75	1.75	IN	FSW	A	0.078722271	0.025415574
8	75	1.75	IN	FSW	B	0.042145955	0.026605455
8	75	1.75	IN	FSW	C	0.052636253	0.016272415
9	90	1.825	IN	FSW	A	0.083634468	0.019273047
9	90	1.825	IN	FSW	B	0.060223846	0.030494565
9	90	1.825	IN	FSW	C	0.090283397	0.025636198
10	94	1.725	IN	FSW	A	0.06795567	0.012834388
10	94	1.725	IN	FSW	B	0.056161592	-0.007580191
10	94	1.725	IN	FSW	C	0.067196737	0.025281666
1	82	1.6	IN	SLW	A	0.054779701	0.01485756
1	82	1.6	IN	SLW	B	0.067798524	0.023029567
1	82	1.6	IN	SLW	C	0.056669704	0.017559926
2	85	1.7	IN	SLW	A	0.04133043	0.022563616
2	85	1.7	IN	SLW	B	0.061303897	0.012200417
2	85	1.7	IN	SLW	C	0.066054637	0.011320269
3	89	1.8	IN	SLW	A	0.071512311	0.019403873
3	89	1.8	IN	SLW	B	0.044092253	0.015504286
3	89	1.8	IN	SLW	C	0.041923142	0.011499646
4	97	1.7	IN	SLW	A	0.072662388	0.0181334
4	97	1.7	IN	SLW	B	0.065478645	0.021144472
4	97	1.7	IN	SLW	C	0.077628492	0.020269333
5	94	1.75	IN	SLW	A	0.072428625	0.008274692
5	94	1.75	IN	SLW	B	0.045781955	0.018322782
5	94	1.75	IN	SLW	C	0.054017055	0.028204546
6	75	1.85	IN	SLW	A	0.065820057	0.021771526
6	75	1.85	IN	SLW	B	0.050494799	0.007824856
6	75	1.85	IN	SLW	C	0.038880765	0.017017383
7	50	1.5	IN	SLW	A	0.051827363	0.010248147
7	50	1.5	IN	SLW	B	0.065162689	0.013736987
7	50	1.5	IN	SLW	C	0.062191393	0.029822976
8	75	1.75	IN	SLW	A	0.080036582	0.024199784
8	75	1.75	IN	SLW	B	0.058365871	0.02337694
8	75	1.75	IN	SLW	C	0.049491032	0.017908656
9	90	1.825	IN	SLW	A	0.070316421	0.018070304
9	90	1.825	IN	SLW	B	0.080491002	0.024125825
9	90	1.825	IN	SLW	C	0.066921493	0.018902124
10	94	1.725	IN	SLW	A	0.062810455	0.017677903
10	94	1.725	IN	SLW	B	0.055986704	0.015560261
10	94	1.725	IN	SLW	C	0.044785446	0.024101118
