sub	mass	height	activity	speed	stiffness	intptpm	extptpm
1	82	1.6	ST	FSW	A	102.1189463	-32.73908019
1	82	1.6	ST	FSW	B	115.1520341	-5.35100237
1	82	1.6	ST	FSW	C	-17.46569804	-23.81795247
1	82	1.6	ST	SSW	A	56.30684186	-22.12263136
1	82	1.6	ST	SSW	B	120.8320513	-41.11795757
1	82	1.6	ST	SSW	C	111.1570686	-8.785923264
1	82	1.6	ST	SLW	A	71.24924966	-27.57808953
1	82	1.6	ST	SLW	B	134.2428723	20.3338495
1	82	1.6	ST	SLW	C	87.65241964	-33.91522288
1	82	1.6	IN	FSW	A	80.57943448	-0.348244174
1	82	1.6	IN	FSW	B	209.514181	-3.483298348
1	82	1.6	IN	FSW	C	104.1297745	-19.45395284
1	82	1.6	IN	SSW	A	142.2395636	-16.08081593
1	82	1.6	IN	SSW	B	157.7924344	-3.094335787
1	82	1.6	IN	SSW	C	85.0806971	9.693646625
1	82	1.6	IN	SLW	A	122.4472387	11.03997177
1	82	1.6	IN	SLW	B	109.0818195	11.47873742
1	82	1.6	IN	SLW	C	-12.64925253	8.767687664
1	82	1.6	OUT	SSW	A	134.2718051	24.91058732
1	82	1.6	OUT	SSW	B	156.6008639	-12.34730525
1	82	1.6	OUT	SSW	C	185.9345318	-20.9939526
1	82	1.6	OUT	SSW	A	61.1871606	-7.947381744
1	82	1.6	OUT	SSW	B	40.57062386	-42.30945239
1	82	1.6	OUT	SSW	C	16.97472493	-0.104740711
1	82	1.6	OUT	SSW	A	96.92223536	-61.84091908
1	82	1.6	OUT	SSW	B	129.8318038	0.037199186
1	82	1.6	OUT	SSW	C	145.4388064	-32.71339569
2	85	1.7	ST	FSW	A	167.2132924	-8.776415719
2	85	1.7	ST	FSW	B	77.43982358	1.748712927
2	85	1.7	ST	FSW	C	50.13114231	-2.460937472
2	85	1.7	ST	SSW	A	107.2741655	-32.11189802
2	85	1.7	ST	SSW	B	201.4031611	1.841703171
2	85	1.7	ST	SSW	C	116.5186863	0.17740705
2	85	1.7	ST	SLW	A	109.8151958	36.78929924
2	85	1.7	ST	SLW	B	82.0624519	21.35232115
2	85	1.7	ST	SLW	C	95.74120656	3.408172877
2	85	1.7	IN	FSW	A	41.56448361	4.161855633
2	85	1.7	IN	FSW	B	40.9971572	-37.01636323
2	85	1.7	IN	FSW	C	75.88226275	47.74707673
2	85	1.7	IN	SSW	A	103.6581326	-25.48521059
2	85	1.7	IN	SSW	B	175.9601808	19.63502117
2	85	1.7	IN	SSW	C	83.4778617	-19.73971916
2	85	1.7	IN	SLW	A	66.16111456	-48.71301774
2	85	1.7	IN	SLW	B	42.84882706	7.653753296
2	85	1.7	IN	SLW	C	103.3593217	-33.54167532
2	85	1.7	OUT	SSW	A	119.9759695	6.230741409
2	85	1.7	OUT	SSW	B	82.48764953	2.025939511
2	85	1.7	OUT	SSW	C	110.5559341	-2.018995109
2	85	1.7	OUT	SSW	A	88.51890299	-19.57027361
2	85	1.7	OUT	SSW	B	55.41772098	-9.610983995
2	85	1.7	OUT	SSW	C	81.89552033	-32.54839799
2	85	1.7	OUT	SSW	A	115.7283026	23.39633338
2	85	1.7	OUT	SSW	B	41.92370321	3.807423861
2	85	1.7	OUT	SSW	C	74.61025071	-5.582060468
3	89	1.8	ST	FSW	A	107.7923097	-49.23289356
3	89	1.8	ST	FSW	B	47.42159177	-2.505173793
3	89	1.8	ST	FSW	C	51.43559556	-31.35667303
3	89	1.8	ST	SSW	A	85.44138309	11.3436847
3	89	1.8	ST	SSW	B	111.0517868	6.699241325
3	89	1.8	ST	SSW	C	117.2914087	-31.27462358
3	89	1.8	ST	SLW	A	60.65517159	-32.15066049
3	89	1.8	ST	SLW	B	61.0622795	-7.584332403
3	89	1.8	ST	SLW	C	84.33554985	19.15220525
3	89	1.8	IN	FSW	A	182.6373605	22.02868337
3	89	1.8	IN	FSW	B	112.8274905	-21.89683623
3	89	1.8	IN	FSW	C	40.97135819	-6.02577844
3	89	1.8	IN	SSW	A	65.65903968	5.456941889
3	89	1.8	IN	SSW	B	164.5791642	-16.61061515
3	89	1.8	IN	SSW	C	205.7875517	-11.07056623
3	89	1.8	IN	SLW	A	208.7018338	1.608917963
3	89	1.8	IN	SLW	B	76.89069749	23.79498792
3	89	1.8	IN	SLW	C	79.14165793	-44.84803899
3	89	1.8	OUT	SSW	A	157.3061135	21.08850998
3	89	1.8	OUT	SSW	B	93.25253847	2.947358683
3	89	1.8	OUT	SSW	C	163.1231981	-14.82912931
3	89	1.8	OUT	SSW	A	75.50323328	-24.66659512
